,2021,2020,2019,2018
capitalSurplus,5023751000.0,4377149000.0,3712194000.0,2974926000.0
totalLiab,11701773000.0,8567829000.0,7617396000.0,7104486000.0
totalStockholderEquity,7906889000.0,6791203000.0,5750223000.0,4769951000.0
deferredLongTermLiab,364143000.0,371707000.0,260220000.0,141778000.0
otherCurrentLiab,538449000.0,379525000.0,346707000.0,388507000.0
totalAssets,19608662000.0,15359032000.0,13367619000.0,11874437000.0
commonStock,662000.0,629000.0,597000.0,556000.0
otherCurrentAssets,2136562000.0,60736000.0,27961000.0,4716000.0
retainedEarnings,2812673000.0,2471014000.0,2152015000.0,1878116000.0
otherLiab,3066468000.0,3052578000.0,2878504000.0,2695690000.0
goodWill,731257000.0,731257000.0,730706000.0,730419000.0
treasuryStock,69803000.0,-57589000.0,-114583000.0,-83647000.0
otherAssets,474734000.0,397017000.0,289330000.0,194633000.0
cash,116723000.0,20808000.0,24550000.0,13771000.0
totalCurrentLiabilities,3510355000.0,782401000.0,1209440000.0,1915131000.0
shortLongTermDebt,2400000000.0,,,631499000.0
otherStockholderEquity,69803000.0,-57589000.0,-114583000.0,-83647000.0
propertyPlantEquipment,15286416000.0,13582493000.0,11787669000.0,10371147000.0
totalCurrentAssets,2838715000.0,471258000.0,458031000.0,478853000.0
longTermInvestments,277540000.0,177007000.0,101883000.0,99385000.0
netTangibleAssets,7175632000.0,6059946000.0,5019517000.0,4039532000.0
netReceivables,342967000.0,230595000.0,230571000.0,253295000.0
longTermDebt,4911918000.0,4523313000.0,3529452000.0,2493665000.0
inventory,193697000.0,118779000.0,136054000.0,173838000.0
accountsPayable,224873000.0,141075000.0,213398000.0,183880000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,819299000.0,746796000.0,650309000.0,611144000.0
minorityInterest,,,,
netIncome,665563000.0,601443000.0,511406000.0,603064000.0
sellingGeneralAdministrative,19238000.0,3189000.0,-3016000.0,5770000.0
grossProfit,1695754000.0,1532682000.0,1412703000.0,1352903000.0
ebit,885760000.0,820910000.0,749074000.0,722164000.0
operatingIncome,885760000.0,820910000.0,749074000.0,722164000.0
otherOperatingExpenses,312779000.0,278755000.0,275189000.0,263886000.0
interestExpense,-83554000.0,-84474000.0,-103153000.0,-106646000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,153736000.0,145353000.0,138903000.0,8080000.0
totalRevenue,3407490000.0,2821137000.0,2901848000.0,3115546000.0
totalOperatingExpenses,2521730000.0,2000227000.0,2152774000.0,2393382000.0
costOfRevenue,1711736000.0,1288455000.0,1489145000.0,1762643000.0
totalOtherIncomeExpenseNet,-66461000.0,-74114000.0,-98765000.0,-111020000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,665563000.0,601443000.0,511406000.0,603064000.0
netIncomeApplicableToCommonShares,665098000.0,600999000.0,510990000.0,602484000.0
investments,-6072000.0,491000.0,-2784000.0,-8325000.0
changeToLiabilities,241051000.0,-24576000.0,-48495000.0,-11857000.0
totalCashflowsFromInvestingActivities,-1963655000.0,-1925518000.0,-1683660000.0,-1463566000.0
netBorrowings,2797346000.0,534535000.0,359356000.0,128035000.0
totalCashFromFinancingActivities,3143821000.0,883777000.0,725670000.0,326266000.0
changeToOperatingActivities,-2440633000.0,-134455000.0,-82509000.0,157005000.0
issuanceOfStock,622508000.0,643850000.0,713426000.0,414655000.0
changeInCash,95915000.0,-3742000.0,10779000.0,-12638000.0
totalCashFromOperatingActivities,-1084251000.0,1037999000.0,968769000.0,1124662000.0
depreciation,477977000.0,429828000.0,391456000.0,361083000.0
otherCashflowsFromInvestingActivities,11957000.0,9667000.0,12601000.0,12350000.0
dividendsPaid,-323904000.0,-282444000.0,-245717000.0,-214906000.0
changeToInventory,-66166000.0,18188000.0,35594000.0,18921000.0
changeToAccountReceivables,-113665000.0,7167000.0,18724000.0,-29208000.0
otherCashflowsFromFinancingActivities,47871000.0,-12164000.0,-101395000.0,-1518000.0
changeToNetincome,137592000.0,128861000.0,133129000.0,17789000.0
capitalExpenditures,-1969540000.0,-1935676000.0,-1693477000.0,-1467591000.0
annualDilutedAverageShares,,,,
